Child No.0, CPU Time:63, IO Time:6 
Child No.1, CPU Time:77, IO Time:5 
Child No.2, CPU Time:73, IO Time:5 
Child No.3, CPU Time:66, IO Time:2 
Child No.4, CPU Time:69, IO Time:1 
Child No.5, CPU Time:62, IO Time:7 
Child No.6, CPU Time:70, IO Time:9 
Child No.7, CPU Time:63, IO Time:6 
Child No.8, CPU Time:60, IO Time:6 
Child No.9, CPU Time:72, IO Time:6 
Time: 96, Child No.5 gets CPU time, Remaining:42, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 97, Child No.6 gets CPU time, Remaining:50, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
Time: 98, Child No.7 gets CPU time, Remaining:43, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
Time: 99, Child No.8 gets CPU time, Remaining:40, Run Queue: 9 0 1 2 3 4 5 6 7 8 IO Wait Queue: 
Time: 100, Child No.9 gets CPU time, Remaining:52, Run Queue: 0 1 2 3 4 5 6 7 8 9 IO Wait Queue: 
Time: 101, Child No.0 gets CPU time, Remaining:41, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 102, Child No.1 gets CPU time, Remaining:55, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 103, Child No.2 gets CPU time, Remaining:51, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 104, Child No.3 gets CPU time, Remaining:44, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 105, Child No.4 gets CPU time, Remaining:47, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
Time: 106, Child No.5 gets CPU time, Remaining:40, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 107, Child No.6 gets CPU time, Remaining:48, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
Time: 108, Child No.7 gets CPU time, Remaining:41, Run Queue: 8 9 0 1 2 3 4 5 6 7 IO Wait Queue: 
Time: 109, Child No.8 gets CPU time, Remaining:38, Run Queue: 9 0 1 2 3 4 5 6 7 8 IO Wait Queue: 
Time: 110, Child No.9 gets CPU time, Remaining:50, Run Queue: 0 1 2 3 4 5 6 7 8 9 IO Wait Queue: 
Time: 111, Child No.0 gets CPU time, Remaining:39, Run Queue: 1 2 3 4 5 6 7 8 9 0 IO Wait Queue: 
Time: 112, Child No.1 gets CPU time, Remaining:53, Run Queue: 2 3 4 5 6 7 8 9 0 1 IO Wait Queue: 
Time: 113, Child No.2 gets CPU time, Remaining:49, Run Queue: 3 4 5 6 7 8 9 0 1 2 IO Wait Queue: 
Time: 114, Child No.3 gets CPU time, Remaining:42, Run Queue: 4 5 6 7 8 9 0 1 2 3 IO Wait Queue: 
Time: 115, Child No.4 gets CPU time, Remaining:45, Run Queue: 5 6 7 8 9 0 1 2 3 4 IO Wait Queue: 
Time: 116, Child No.5 gets CPU time, Remaining:38, Run Queue: 6 7 8 9 0 1 2 3 4 5 IO Wait Queue: 
Time: 117, Child No.6 gets CPU time, Remaining:46, Run Queue: 7 8 9 0 1 2 3 4 5 6 IO Wait Queue: 
